"filename", "language", "JavaScript", "JSON", "TypeScript", "PostCSS", "Markdown", "HTML", "JSON with Comments", "Svelte", "XML", "comment", "blank", "total"
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\TASK\SUBEVAL\TaskXExperience.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 10, 110
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\TASK\SUBEVAL\TaskXStatus.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 9, 103
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\TASK\SUB\AB.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 14, 146
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\TASK\SUB\MassScatter.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\TASK\SUB\MessagesTasks.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 5, 70
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\TASK\SUB\RatingAVSB.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 15, 245
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\TASK\SUB\Stacked.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 8, 107
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\TASK\SUB\TasksA.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 7, 82
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\TASK\SUB\TasksB.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 73, 0, 1, 8, 82
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\TASK\Tasks.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 9, 0, 4, 2, 15
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\VARIANTE\CALC.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 8, 32
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\VARIANTE\SUB\AvsB.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 186, 0, 1, 15, 202
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\VARIANTE\SUB\Radar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 9, 93
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\VARIANTE\VarianteRating.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 2, 11
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Helper\ChartGrid.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Helper\Container.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 8, 73
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Helper\KeyData.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 8, 81
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Helper\TableGlassBox.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 52, 0, 1, 3, 56
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Helper\TableMultipleColums.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 8, 112
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Helper\TableMultipleColumsMatch.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 9, 115
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Logic\Aggregate.ts", "TypeScript", 0, 0, 206, 0, 0, 0, 0, 0, 0, 15, 35, 256
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Logic\Export.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 3, 32
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Logic\HelpersCharts.ts", "TypeScript", 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 32, 281
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Logic\HelpersMath.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 11, 19, 122
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Logic\HelpersStatisitcs.ts", "TypeScript", 0, 0, 258, 0, 0, 0, 0, 0, 0, 5, 46, 309
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Logic\Hypothesis.ts", "TypeScript", 0, 0, 519, 0, 0, 0, 0, 0, 0, 34, 75, 628
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Logic\HypothesisHelper.ts", "TypeScript", 0, 0, 181, 0, 0, 0, 0, 0, 0, 4, 20, 205
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Logic\HypothesisTests.ts", "TypeScript", 0, 0, 306, 0, 0, 0, 0, 0, 0, 33, 47, 386
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Logic\Misc.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 3, 11, 76
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Logic\Overall.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 2, 11, 63
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\User\User.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\User\chatStore.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 5, 18, 108
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Utils\App.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\i18n.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 10, 44
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\images\Input\menu.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\images\Input\send.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\images\Misc\lang.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\images\Misc\mobile-slash.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\images\Misc\safari.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 7, 35
